User ID,Text,Followers Count,Friends Count,Statuses Count
1.62E+18,"@saiedeh10 این زنیکه یه جنده صادراتیه. لابلای آشپزی، مرتباً از عنقلاب و مشروعیت نظام ج ا زر میزنه. درتمام دوران کرونا از قرنطینه اجباری و واکسنهای ایرانی غیر استاندارد دفاع میکرد. از زمانیکه گشت ارشاد درست شد مرتبا درباره رعایت حجاب زر زد. این زنیکه کثافتیه که لنگه نداره",355,368,6005
1.62E+18,"@inFORmtal موج جدید کرونا:،،)))؟؟؟؟؟؟؟!!!!
قرنطینه؟!!!
من واقعا نمیکشم دیگه:،)))
مرسی از توصیه هات🤍👌🏻",54,75,280
1.62E+18,"@ucancallmevav من ۲۰ سالگیم خورد به کرونا و همش توی قرنطینه بودم، هیچی نفهمیدم ازش. انگار نمیتونم از این مرحله عبور کنم هنوز",47,74,241
1.62E+18,"حس و حال گهی دارم . نزدیک ۵ ساله فقط عذاب کشیدم نمیدونم از چی بگم 
از کنسل شدن مهاجرت و نرسیدن به کسی که دوسش داشتم 
از تنهایی و جدایی از خانواده 
از کرونا و قرنطینه تنهایی 
از فوت پدرم 
از مهاجرت اجباری و افسردگی شدید 
از وضعیت ایران 
و الان از زلزله و بدبختی خیلیا",221,873,2730
1.62E+18,"تو ۲۴ ساعت گذشته در کشور
۸۴۹ نفر به کرونا مبتلا شدن و ۴ نفر فوت شدن
یکی از شدیدترین موج‌های کرونا 
تا ۱۸ روز قبل عید در سراسر کشور 
شیوع پیدا می‌کنه و قرنطینه‌ دوباره آغاز میشه، واسش برنامه داشته باشید 
جوری که انگار از الان میدونید.
حرام زادگان زمانه
#مهسا_امينی‌",166,169,2843
1.62E+18,"چینی ها در دوران کرونا از این فناوری برای جلوگیری از خارج شدن مخفیانه افراد از شهرهای قرنطینه شده بخاطر کرونا استفاده می کردند/۲
https://t.co/tzk9YFkQ42",12437,4617,81879
1.62E+18,@Sinasgari ما سال ۹۷ با دلار ۴ تومنی رفتیم و اول کرونا با دلار ۲۵ تومنی رفتیم توی خونه هامون توی قرنطینه اره دست روی دست بسیاره توی کیرخر بودن این مملکت,38,278,2004
1.62E+18,"⚪️ تو ۲۴ ساعت گذشته در کشور ۸۴۹ نفر به کرونا مبتلا شدن و ۴ نفر فوت شدن. یکی از شدیدترین موج‌های کرونا تا ۱۸ روز قبل عید در سراسر کشور شیوع پیدا می‌کنه و قرنطینه‌ دوباره آغاز میشه، واسش برنامه داشته باشید جوری که انگار از الان میدونید.",876,670,8485
1.62E+18,"دختری که تو قرنطینه کرونا ساعت ۳ شب تو اندرزگو با ۲۰۷ سفیدت داشتی کل کل میکردی باهام و واقعا کم نمیاوردی،هنوز دنبالت میگردم ، زن زندگی هستی تو",33,71,199
1.62E+18,"احمقا انتظار دارن وقتی طرف از زندان میاد بیرون، از بیرون آمدنش گریون و غمگین باشه
الدنگ یارو از ندادن اومده بیرون، میفهمی
تویی که بعد از قرنطینه کرونا جشن گرفتی خواهشن زر نزن",157,112,3977
